From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
C8orf34	protein-protein interactions	C8orf34		
CEP57L1	protein-protein interactions	CEP57L1		
CTSZ	protein-protein interactions	CTSZ		
GOLGA1	protein-protein interactions	CEP57L1		
KATNAL1	protein-protein interactions	CEP57L1		
KATNAL1	protein-protein interactions	KATNAL1		
MAGEA3/MAGEA6	protein-protein interactions	CCDC146		
MID2	protein-protein interactions	AEN		
MID2	protein-protein interactions	CEP57L1		
MID2	protein-protein interactions	CTSZ		
MID2	protein-protein interactions	DIEXF		
MID2	protein-protein interactions	MID2		
MIPOL1	protein-protein interactions	DIEXF		
MIPOL1	protein-protein interactions	MAGEA3/MAGEA6		
MIPOL1	protein-protein interactions	MIPOL1		
MTUS2	protein-protein interactions	AEN		
MTUS2	protein-protein interactions	ALS2CR11		
MTUS2	protein-protein interactions	C8orf34		
MTUS2	protein-protein interactions	CCDC146		
MTUS2	protein-protein interactions	CEP57L1		
MTUS2	protein-protein interactions	CEP95		
MTUS2	protein-protein interactions	CTSZ		
MTUS2	protein-protein interactions	FBXO34		
MTUS2	protein-protein interactions	MTUS2		
NINL	protein-protein interactions	CCDC146		
PIK3CG	activation	PIK3CG		
PIK3CG	expression	PIK3CG		
PIK3CG	protein-protein interactions	PIK3CG		
PIK3CG	regulation of binding	PIK3CG		
PPHLN1	protein-protein interactions	MTUS2		
PRMT7	protein-protein interactions	CTCFL		
PRMT7	protein-protein interactions	PIK3CG		
RCOR3	protein-protein interactions	MAGEA3/MAGEA6		
RCOR3	protein-protein interactions	MID2		
RCOR3	protein-protein interactions	MIPOL1		
RCOR3	protein-protein interactions	NINL		
SCEL	protein-protein interactions	MTUS2		
TSGA10	protein-protein interactions	CEP57L1		
TSGA10	protein-protein interactions	MID2		
TSGA10	protein-protein interactions	PPHLN1		
TSGA10	protein-protein interactions	RCOR3		
TSGA10	protein-protein interactions	SCEL		
TSGA10	protein-protein interactions	TSGA10		
UNC45B	protein-protein interactions	CTCFL		
ZBTB24	protein-protein interactions	MID2		
ZBTB24	protein-protein interactions	PRMT7		
ZBTB24	protein-protein interactions	TSGA10		
ZC2HC1C	protein-protein interactions	MID2		
ZC2HC1C	protein-protein interactions	MTUS2		
ZFP2	protein-protein interactions	MTUS2		
ZFP64	protein-protein interactions	AEN		
ZFP64	protein-protein interactions	MTUS2		
ZFP64	protein-protein interactions	ZFP64		
ZNF224	protein-protein interactions	DEPDC1		
ZNF224	protein-protein interactions	MTUS2		
ZNF426	protein-protein interactions	MTUS2		
ZNF426	protein-protein interactions	NINL		
ZNF426	protein-protein interactions	TSGA10		
ZNF490	protein-protein interactions	MTUS2		
ZNF490	protein-protein interactions	TSGA10		
ZNF624	protein-protein interactions	MTUS2		
ZNF785	protein-protein interactions	MID2		
ZNF785	protein-protein interactions	MTUS2		
phosphatidylinositol-4,5-bisphosphate 3-kinase	membership	PIK3CG		
