© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
BTG2	expression	BTG2		
BTG2	protein-DNA interactions	HMOX1		
BTG2	regulation of binding	BTG2		
CACYBP	protein-protein interactions	CACYBP		
CCDC88A	activation	CCDC88A		
CCDC88A	phosphorylation	CCDC88A		
CCDC88A	protein-protein interactions	CCDC88A		
DCAF7	protein-protein interactions	CCDC88A		
DCAF7	protein-protein interactions	CYFIP2		
DOCK7	protein-protein interactions	CYFIP2		
DOCK7	protein-protein interactions	DCAF7		
FBXW11	expression	FBXW11		
FBXW11	protein-protein interactions	BTG2		
FBXW11	protein-protein interactions	DCAF7		
FBXW11	protein-protein interactions	DOCK7		
FBXW11	protein-protein interactions	FBXW11		
HMOX1	activation	HMOX1		
HMOX1	expression	HMOX1		
HMOX1	protein-protein interactions	HMOX1		
KDM3A	expression	HMOX1		
KIAA0355	protein-protein interactions	FBXW11		
LATS1	molecular cleavage	LATS1		
LATS1	protein-protein interactions	DOCK7		
MC3R	activation	HMOX1		
MC3R	expression	HMOX1		
MKL1	expression	COX7A1		
MKL1	expression	CYFIP2		
MKL1	expression	ELOVL3		
MKL1	expression	PRG2		
MKL1	expression	PRG3		
MKL1	protein-protein interactions	KDM3A		
MKL2	expression	PRG2		
MKL2	expression	PRG3		
MKL2	protein-protein interactions	KDM3A		
MKL2	protein-protein interactions	MKL1		
MKL2	protein-protein interactions	MKL2		
NCKAP5L	protein-protein interactions	FBXW11		
PPP6C	activation	PPP6C		
PPP6C	protein-protein interactions	DOCK7		
PPP6C	protein-protein interactions	LATS1		
PPP6R1	protein-protein interactions	DOCK7		
PPP6R1	protein-protein interactions	LATS1		
PPP6R1	protein-protein interactions	PPP6C		
PPP6R1	protein-protein interactions	PPP6R1		
PPP6R2	protein-protein interactions	CACYBP		
PPP6R2	protein-protein interactions	DOCK7		
PPP6R2	protein-protein interactions	LATS1		
PPP6R2	protein-protein interactions	PPP6C		
PPP6R2	protein-protein interactions	PPP6R1		
PPP6R3	protein-protein interactions	DOCK7		
PPP6R3	protein-protein interactions	LATS1		
PPP6R3	protein-protein interactions	PPP6C		
PPP6R3	protein-protein interactions	PPP6R1		
PPP6R3	protein-protein interactions	PPP6R2		
PRG2	protein-protein interactions	PPP6R1		
PRG2	protein-protein interactions	PPP6R2		
RABL6	expression	BTG2		
RABL6	expression	HMOX1		
RABL6	expression	NCAPG		
RABL6	expression	VRK1		
RPS10-NUDT3	protein-protein interactions	CACYBP		
SERCA	expression	BTG2		
STK3	activation	LATS1		
STK3	phosphorylation	LATS1		
STK3	protein-protein interactions	CACYBP		
STK3	protein-protein interactions	DOCK7		
STK3	protein-protein interactions	FBXW11		
STK3	protein-protein interactions	LATS1		
STK3	protein-protein interactions	PPP6C		
STK3	protein-protein interactions	PPP6R1		
STK3	protein-protein interactions	PPP6R2		
STK3	protein-protein interactions	PPP6R3		
STK3	protein-protein interactions	STK3		
STK3	regulation of binding	STK3		
SYBU	protein-protein interactions	FBXW11		
THOC2	protein-protein interactions	DOCK7		
THOC2	protein-protein interactions	LATS1		
VRK1	protein-protein interactions	VRK1		
WWTR1	protein-protein interactions	FBXW11		
WWTR1	protein-protein interactions	LATS1		
WWTR1	protein-protein interactions	STK3		
WWTR1	protein-protein interactions	WWTR1		
YWHAH	inhibition	YWHAH		
YWHAH	protein-protein interactions	CABLES1		
YWHAH	protein-protein interactions	CACYBP		
YWHAH	protein-protein interactions	CCDC88A		
YWHAH	protein-protein interactions	CYFIP2		
YWHAH	protein-protein interactions	DCAF7		
YWHAH	protein-protein interactions	DOCK7		
YWHAH	protein-protein interactions	FBXW11		
YWHAH	protein-protein interactions	LATS1		
YWHAH	protein-protein interactions	PPP6R3		
YWHAH	protein-protein interactions	STK3		
YWHAH	protein-protein interactions	WWTR1		
YWHAH	protein-protein interactions	YWHAH		
mir-32	RNA-RNA interactions: microRNA targeting	BTG2		
mir-32	expression	BTG2		
