© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
NFkB (complex)	activation	NFkB (complex)		
NFkB (complex)	expression	SCLY		
NFkB (complex)	expression	SLC2A12		
NFkB (complex)	expression	SLC3A1		
NFkB (complex)	expression	TPMT		
NFkB (complex)	expression	ZNF71		
NFkB (complex)	regulation of binding	NFkB (complex)		
NFkB (complex)	translocation	NFkB (complex)		
OTUB2	activation	NFkB (complex)		
PJA1	protein-protein interactions	OTUB2		
PJA1	protein-protein interactions	PJA1		
PKN3	activation	NFkB (complex)		
PPP4R4	activation	NFkB (complex)		
PYDC2	activation	NFkB (complex)		
RNF126	protein-protein interactions	OTUB2		
RNF126	protein-protein interactions	PJA1		
RNF126	protein-protein interactions	RNF126		
RNF141	activation	NFkB (complex)		
RUSC2	activation	NFkB (complex)		
SLC25A16	protein-protein interactions	RNF126		
SLC6A14	protein-protein interactions	SLC3A1		
TRIM15	activation	NFkB (complex)		
TRIM15	protein-protein interactions	TRIM15		
TRIM26	protein-protein interactions	OTUB2		
TRIM26	protein-protein interactions	PHF7		
TRIM26	protein-protein interactions	RNF126		
TRIM26	protein-protein interactions	TRIM26		
TRIM39	protein-protein interactions	OTUB2		
TRIM39	protein-protein interactions	OTUD6A		
TRIM39	protein-protein interactions	TRIM39		
TRIM40	activation	NFkB (complex)		
TRIM52	activation	NFkB (complex)		
TRIM52	protein-protein interactions	RNF126		
TRIM6	activation	NFkB (complex)		
TRIM6	protein-protein interactions	TRIM6		
TRIM8	activation	NFkB (complex)		
TRIM8	protein-protein interactions	OTUB2		
TRIM8	protein-protein interactions	RNF113A		
TRIM8	protein-protein interactions	RNF141		
TRIM8	protein-protein interactions	TRIM15		
TRIM8	protein-protein interactions	TRIM39		
TRIM8	protein-protein interactions	TRIM43/TRIM43B		
TRIM8	protein-protein interactions	TRIM8		
TTC32	protein-protein interactions	TRIM39		
UBE2D4	protein-protein interactions	PHF7		
UBE2D4	protein-protein interactions	RNF126		
UBE2D4	protein-protein interactions	TRIM39		
UBE2D4	protein-protein interactions	TRIM43/TRIM43B		
UBE2D4	protein-protein interactions	TRIM8		
UBE2D4	protein-protein interactions	UBE2D4		
UBTD2	protein-protein interactions	SMR3B		
UBTD2	protein-protein interactions	TRIM39		
ZFAND6	activation	NFkB (complex)		
ZNF19	protein-protein interactions	TRIM39		
ZNF440	protein-protein interactions	PJA1		
ZNF675	activation	NFkB (complex)		
