ID	Notes	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
NM_130786	 	A1BG	alpha-1-B glycoprotein	Extracellular Space	other	 	
NR_015380	 	A1BG-AS1	A1BG antisense RNA 1	Other	other	 	
NM_000014	 	A2M	alpha-2-macroglobulin	Extracellular Space	transporter	 	
NR_026971	 	A2M-AS1	A2M antisense RNA 1 (head to head)	Other	other	 	
NM_144670	D	A2ML1	alpha-2-macroglobulin-like 1	Cytoplasm	other	 	
NM_001282424	D	A2ML1	alpha-2-macroglobulin-like 1	Cytoplasm	other	 	
NR_040112	 	A2MP1	alpha-2-macroglobulin pseudogene 1	Other	other	 	
NM_001080438	 	A3GALT2	alpha 1,3-galactosyltransferase 2	Other	enzyme	 	
NM_016161	 	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Cytoplasm	enzyme	 	
NR_037584	 	AA06	uncharacterized LOC100506677	Other	other	 	
NM_001173466	D	AAAS	aladin WD repeat nucleoporin	Nucleus	other	 	
NM_015665	D	AAAS	aladin WD repeat nucleoporin	Nucleus	other	 	
NM_023928	 	AACS	acetoacetyl-CoA synthetase	Cytoplasm	enzyme	 	
NR_024035	 	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Other	other	 	
NM_001086	 	AADAC	arylacetamide deacetylase	Cytoplasm	enzyme	 	
NR_110202	D	AADACL2-AS1	AADACL2 antisense RNA 1	Other	other	 	
NR_110203	D	AADACL2-AS1	AADACL2 antisense RNA 1	Other	other	 	
NM_001103170	D	AADACL3	arylacetamide deacetylase-like 3	Other	other	 	
NR_111984	D	AADACL3	arylacetamide deacetylase-like 3	Other	other	 	
NM_001013630	 	AADACL4	arylacetamide deacetylase-like 4	Other	other	 	
NR_026915	 	AADACP1	arylacetamide deacetylase pseudogene 1	Other	other	 	
NM_182662	D	AADAT	aminoadipate aminotransferase	Cytoplasm	enzyme	 	
NM_001286683	D	AADAT	aminoadipate aminotransferase	Cytoplasm	enzyme	 	
NM_001286682	D	AADAT	aminoadipate aminotransferase	Cytoplasm	enzyme	 	
NM_016228	D	AADAT	aminoadipate aminotransferase	Cytoplasm	enzyme	 	
NM_153698	 	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Other	other	 	
NM_014911	 	AAK1	AP2 associated kinase 1	Cytoplasm	kinase	 	
NM_001316962	D	AAMDC	adipogenesis associated, Mth938 domain containing	Cytoplasm	other	 	
NM_001316960	D	AAMDC	adipogenesis associated, Mth938 domain containing	Cytoplasm	other	 	
NM_001316961	D	AAMDC	adipogenesis associated, Mth938 domain containing	Cytoplasm	other	 	
NM_024684	D	AAMDC	adipogenesis associated, Mth938 domain containing	Cytoplasm	other	 	
NM_001316958	D	AAMDC	adipogenesis associated, Mth938 domain containing	Cytoplasm	other	 	
NM_001316957	D	AAMDC	adipogenesis associated, Mth938 domain containing	Cytoplasm	other	 	
NR_133637	D	AAMDC	adipogenesis associated, Mth938 domain containing	Cytoplasm	other	 	
NR_110548	D	AANAT	aralkylamine N-acetyltransferase	Cytoplasm	enzyme	 	
NM_001166579	D	AANAT	aralkylamine N-acetyltransferase	Cytoplasm	enzyme	 	
NM_001088	D	AANAT	aralkylamine N-acetyltransferase	Cytoplasm	enzyme	 	
NM_001271874	D	AAR2	AAR2 splicing factor homolog	Other	other	 	
NM_015511	D	AAR2	AAR2 splicing factor homolog	Other	other	 	
NM_001025357	 	AARD	alanine and arginine rich domain containing protein	Other	other	 	
