Chromosome	Start_Range	End_Range	Count_of_GC	Normalized_Amount_GC	N_Percentage
1	1	10000	0	0.0	0.986
1	4952296	4968005	6598	0.419987269255	0.0
1	5000179	5003227	1408	0.461790751066	0.0
1	5003830	5008149	2101	0.486342592593	0.0
1	5008896	5029979	9254	0.438911022576	0.0
1	5030036	5043976	6859	0.492002008464	0.0
1	5119048	5120793	827	0.473654066438	0.0
1	5120871	5136610	5722	0.363532401525	0.0
1	5137355	5160090	9029	0.397123504574	0.0
1	5160837	5178653	6780	0.380535443677	0.0
1	5179768	5218545	16968	0.437567693022	0.0
1	5583685	5584585	398	0.441731409545	0.0
1	5585386	5593288	4226	0.534733645451	0.0
1	5593291	5603162	4484	0.454213938412	0.0
1	5603531	5603773	130	0.534979423868	0.0
1	5603835	5608113	2254	0.526758588455	0.0
1	5611320	5653645	17415	0.411449227425	0.0
1	5658066	5664604	2983	0.456185961156	0.0
1	5677104	5678908	915	0.506925207756	0.0
1	5686891	5693289	2288	0.357555868104	0.0
1	6630081	6642090	5432	0.452289758535	0.0
1	7178604	7260424	38627	0.472091516848	0.0
1	7260426	7261550	409	0.363555555556	0.0
1	7271255	7292549	8992	0.422258746185	0.0
1	7314291	7337508	10917	0.470195537945	0.0
1	7337567	7340343	1401	0.504501260353	0.0
1	7391951	7403340	5388	0.473046532046	0.0
1	7409241	7417240	2754	0.34425	0.0
1	7688941	7702968	7511	0.535429141717	0.0
1	7707441	7732017	12321	0.501322374578	0.0
1	7732030	7743060	5876	0.532680627323	0.0
1	7744392	7796336	29117	0.560535181442	0.0
1	7804881	7829414	11539	0.470326893291	0.0
1	7830305	7838648	3724	0.446308724832	0.0
1	7838650	7848691	4549	0.452997410874	0.0
1	7849454	7856616	3064	0.427753734469	0.0
1	7856618	7861407	1950	0.407098121086	0.0
1	7899932	7902862	1256	0.428522688502	0.0
1	7903427	7913134	4051	0.417284713638	0.0
1	7913483	7915220	706	0.406214039125	0.0
1	7918245	7942009	9277	0.390363980644	0.0
