chr	start	stop
1	10529	177368
1	13516	91073
1	18888	35451
1	23946	88271
1	25112	263814
1	30322	35509
1	35462	35534
1	40718	796605
1	61735	98602
1	69481	89430
1	81136	90347
1	83177	92104
1	87433	89163
1	87433	89163
1	87446	109121
1	136206	137762
1	156721	267181
1	189411	205967
1	195637	535988
1	200836	206025
1	205978	206050
1	257696	297790
1	347999	501566
1	347999	357921
1	347999	350597
1	349077	459698
1	368762	369993
1	370100	374998
1	415266	467959
1	469809	501566
1	491299	501566
1	492164	493034
1	585988	705879
1	586033	587151
1	586249	646865
1	592541	768278
1	611252	612489
1	629025	633377
1	629160	635024
1	629397	635272
1	629879	876216
1	635004	638514
1	635004	652773
1	651011	701535
1	651191	656960
1	651191	671069
1	652017	656960
1	671126	672030
1	683107	1051594
1	701858	788691
1	729094	740713
1	788934	791865
1	788943	791765
1	789746	827143
1	803256	806693
1	805477	888756
1	818813	827242
1	825512	870223
1	831213	833732
1	833413	857100
1	841389	856501
1	844347	851974
1	859215	926197
1	860781	915307
1	869076	969227
1	933942	934967
1	938037	938669
1	941038	944587
1	958976	961569
1	960616	960819
1	960631	961556
1	961395	961569
1	961739	961795
1	970519	970564
1	970519	970967
1	970922	972319
1	1011741	1012621
1	1028312	1029100
1	1045699	1045858
1	1046911	1047623
1	1047385	1047623
1	1075623	1079296
1	1098953	1099943
1	1139010	1141136
1	1201639	1202894
1	1207339	1207760
1	1243014	1246662
1	1257204	1257318
1	1281397	1290712
1	1287854	1290601
1	1294590	1294837
1	1295811	1296276
1	1296192	1296276
1	1300270	1362366
1	1302134	1309584
1	1307771	1309621
1	1308683	1309184
1	1312332	1312376
1	1339367	1340263
1	1339756	1340065
1	1349966	1351511
1	1374098	1375483
1	1376336	1575421
1	1388646	1388803
1	1405753	1407332
1	1427050	1428156
1	1449635	1452338
1	1450261	1468799
1	1452093	1452182
1	1452264	1520721
1	1464960	1473537
1	1477219	1483031
1	1479540	1480781
1	1479542	1496184
1	1482600	1483031
1	1487855	1487900
1	1508183	1510384
1	1517138	1518905
1	1518852	1518905
1	1523512	1525324
1	1539671	1540474
1	1575421	1741164
1	1587494	1589290
1	1605563	1606571
1	1615282	1616116
1	1625329	1625388
1	1625521	1635838
1	1626635	1628686
1	1629421	1629526
1	1629421	1632821
1	1629425	1629526
1	1632177	1632273
1	1632502	1752267
1	1632502	1752267
1	1632924	1637489
1	1632928	1637489
1	1633854	1657379
1	1634640	1634684
1	1634640	1636487
1	1636442	1636736
1	1637196	1637240
1	1637196	1637489
1	1637196	1637796
1	1638477	1742704
1	1641680	1641818
1	1646697	1648076
1	1655637	1721865
1	1665096	1665142
1	1691280	1704831
1	1694255	1747151
1	1697897	1741164
1	1703550	1703878
1	1703768	1703974
1	1703768	1704392
1	1704337	1704392
1	1709247	1724023
1	1721695	1722599
1	1722652	1724402
1	1722682	1738993
1	1731567	1735576
1	1731567	1739718
1	1840796	1842205
1	1842388	1844178
1	1890194	1891081
1	1944350	1944490
1	1978923	1980417
1	1978950	1982480
1	1981496	1982472
1	2093109	2095962
1	2093115	2095947
1	2121522	2124536
1	2121721	2124557
1	2230697	2231674
1	2272299	2434510
1	2280557	2282703
1	2330593	2345065
1	2338509	2354969
1	2348984	2372073
1	2393932	2431888
1	2440546	2442873
1	2456019	2463016
1	2458818	2459832
1	2494913	2499147
1	2514162	2514311
1	2604134	2605644
1	2634485	2635320
1	2637211	2700788
1	2652208	2656908
1	2683355	2702152
1	2700543	2702743
1	2747963	2766848
1	2765197	2767439
1	2767708	2768253
1	2767708	2778500
1	2776483	2780558
1	2777898	3291811
1	2976236	2978311
1	3002126	3003358
1	3002467	3002802
1	3165170	3166212
1	3167388	3168323
1	3180910	3182202
1	3293385	3295583
1	3298813	3300831
1	3477686	4747461
1	3583177	3584051
1	3625363	3628374
1	3643681	3644391
1	3730460	3791328
1	3750083	3751836
1	3753973	3755043
1	3891873	3892638
1	3963763	3971267
1	3984696	3985204
1	3984696	3985204
1	4063824	4067899
1	4076732	4078903
1	4100515	4105974
1	4224546	4225888
1	4224575	4225945
1	4224575	4225945
1	4304513	4306728
1	4331616	4333657
1	4332676	4333563
1	4333608	4344130
1	4342750	4344130
1	4343314	4344206
1	4354026	4357901
1	4537857	4543308
1	4537857	4543308
1	4822290	4822978
1	4841648	4972398
1	4968068	4996308
1	4977752	4989037
1	5030655	5113957
1	5051997	5113957
1	5103592	5105041
1	5112372	5113437
1	5136611	5137354
1	5136611	5137354
1	5242052	5244500
1	5299219	5302075
1	5342810	5365049
1	5343373	5344591
1	5583698	5587417
1	5584586	5585383
1	5710625	5710755
1	5710625	5710918
1	5710681	5710755
1	5710681	5710918
1	5816571	5817953
1	5836947	6028304
1	5991328	6076860
1	5996108	6077673
1	6004690	6005570
1	6004728	6006768
1	6005960	6006851
1	6106658	6109243
1	6207525	6209022
1	6208865	6209022
1	6209360	6209433
1	6254762	6304311
1	6306259	6308833
1	6342988	6517364
1	6374789	6385777
1	6378134	6385775
1	6378134	6385775
1	6378167	6385783
1	6398576	6399550
1	6398793	6399491
1	6398793	6399491
1	6418083	6460785
1	6419610	6419846
1	6421681	6455462
1	6435039	6441099
1	6438183	6448366
1	6440976	6441021
1	6440976	6441108
1	6444776	6445877
1	6451488	6454919
1	6452101	6454919
1	6470603	6471103
1	6497360	6497434
1	6519400	6542886
1	6628412	7376685
1	6702283	6703636
1	6702566	6703436
1	6702566	6703436
1	6724518	6768225
1	6727456	6733335
1	6731683	6733060
1	6743432	6767292
1	6801285	6801858
1	6801285	6801858
1	6962637	6963458
1	7229254	7229679
1	7229634	7229679
1	7422963	7426226
1	7509155	7511461
1	7509252	7511513
1	7509744	7514589
1	7509829	7511098
1	7510011	7511466
1	7517598	7519818
1	7517598	7519818
1	7562405	7606927
1	7585694	7588372
1	7702969	7705498
1	7702969	7705498
1	7743113	7744391
1	7848717	7849409
1	7864892	7865497
1	7915332	7918244
1	7955376	8244547
1	8011717	8012893
1	8040080	8091164
1	8104440	8116566
1	8122346	8130815
1	8122384	8131315
1	8122575	8131209
1	8125270	8126231
1	8136005	8149261
1	8144024	8151067
1	8144033	8151039
1	8144539	8147909
1	8145928	8157556
1	8146070	8149261
1	8146070	8158055
1	8156768	8180758
1	8156768	8180758
1	8157027	8177739
1	8187695	8190005
1	8223335	8224706
1	8248094	8258494
1	8252522	8485222
1	8278139	8278854
1	8300179	8303979
1	8387305	8415484
1	8490186	8491266
1	8490398	8491662
1	8490404	8491594
1	8536292	8574600
1	8611432	8626557
1	8611687	8614217
1	8613944	8616529
1	8615151	8628162
1	8619786	8625335
1	8635699	8651571
1	8635709	8652221
1	8651512	8660882
1	8655181	8660132
1	8655919	8656499
1	8655919	8657444
1	8655919	8660882
1	8656030	8657444
1	8656060	8660882
1	8706384	8714853
1	8706384	8714853
1	8916833	8918033
1	8947497	8952678
1	8994525	9020942
1	9047373	9047793
1	9074064	9076882
1	9111783	9116225
1	9228556	9230786
1	9255788	9344921
1	9257747	9261167
1	9261999	9342716
1	9393822	9396459
1	9402650	9449762
1	9419510	9430280
1	9435901	9437450
1	9460977	9567958
1	9494457	9520325
1	9496002	9520860
1	9498983	9690399
1	9534103	9537637
1	9536114	9536841
1	9536114	9537869
1	9536133	9537869
1	9544019	9548511
1	9559995	9562091
1	9651621	9651671
1	9651621	9652620
1	9720211	9720632
1	9721428	9721832
1	9762328	9765748
1	9786596	9796641
1	9810652	9813042
1	9877979	9878168
1	9915538	9920109
1	9933962	10075402
1	9942574	9943562
1	9943243	9943504
1	9992655	10003174
1	10007136	10008639
1	10007923	10012254
1	10015782	10142746
1	10035971	10043685
1	10189522	10192068
1	10309360	10318827
1	10309369	10318782
1	10309411	10318608
1	10422423	10423722
1	10422493	10423444
1	10422493	10423450
1	10483496	10485937
1	10566204	10592548
1	10576551	10583990
1	10717155	10721596
1	10720151	10809865
1	10891369	10892138
1	10894205	10896071
1	10977042	10978052
1	10994613	10996014
1	11000057	11002249
1	11000110	11001850
1	11000110	11001850
1	11005914	11373709
1	11025785	11030835
1	11037505	11045994
1	11037505	11045994
1	11037573	11046225
1	11039129	11042684
1	11170302	11172196
1	11352715	11356637
1	11407119	11413325
1	11481384	11483143
1	11522495	11522965
1	11622836	11623132
1	11691392	11691566
1	11691522	11691566
1	11776626	11778910
1	11778639	11778910
1	11863925	11911692
1	11919444	11920037
1	11929811	11933427
1	11929811	11933427
1	11929944	11935393
1	11930405	11932987
1	11970714	11971452
1	12071594	12073990
1	12105888	12108757
1	12121672	12196065
1	12139979	12178253
1	12144226	12163782
1	12166961	12167163
1	12230095	12230153
1	12425264	12429445
1	12683395	12686616
1	12745324	12747071
1	12776331	12861979
1	12782178	12888219
1	12783554	12835839
1	12786362	12888219
1	12788665	12843672
1	12792599	12799264
1	12793042	12793976
1	12793042	12800656
1	12793131	12796633
1	12793716	12859498
1	12794241	13078924
1	12794960	12812687
1	12806954	12823233
1	12819780	12834867
1	12820487	12867035
1	12822700	12824933
1	12822700	12828793
1	12823174	12851408
1	12824272	13388877
1	12825094	12828793
1	12835723	12872879
1	12842059	12888219
1	12843298	12852772
1	12847489	13115600
1	12848485	12848544
1	12848503	12852772
1	12850124	12868035
1	12857061	12857106
1	12859160	12861664
1	12874492	12888219
1	12877967	12886202
1	12881987	12883141
1	12881987	12886202
1	12881991	12883141
1	12883096	12883141
1	12883096	12883404
1	12883096	12886202
1	12888219	13058091
1	12888219	13058091
1	12888219	13058091
1	12888219	13454938
1	12888219	13058091
1	12888219	13164667
1	12888219	13058091
1	12889049	12939491
1	12892861	12892906
1	12896890	12918269
1	12898095	12898285
1	12898238	12898285
1	12904072	12904211
1	12904072	12911655
1	12911862	12936608
1	12926040	12936608
1	12932671	12934815
1	12932844	12934815
1	12934493	12954384
1	13004919	13007836
1	13011895	13038130
1	13011895	13032281
1	13030467	13032822
1	13048231	13056469
1	13052251	13053406
1	13052251	13056469
1	13052255	13053406
1	13053361	13053406
1	13053361	13053669
1	13053361	13056469
1	13058097	13160504
1	13058097	13160504
1	13058097	13160504
1	13058097	13160504
1	13060075	13369791
1	13060075	13065551
1	13062124	13369791
1	13066287	13313979
1	13066287	13369791
1	13066287	13369791
1	13075112	13152244
1	13075112	13148019
1	13076735	13167862
1	13079914	13166716
1	13079914	13166716
1	13079914	13166716
1	13081285	13103618
1	13081382	13103441
1	13084269	13093910
1	13085875	13191047
1	13091709	13094193
1	13091709	13094193
1	13091776	13094180
1	13094253	13166716
1	13095890	13166716
1	13104252	13152244
1	13104252	13150258
1	13104252	13122521
1	13104520	13110633
1	13104520	13110641
1	13105403	13119991
1	13111300	13120043
1	13132608	13135012
1	13151895	13330100
1	13161240	13166716
1	13168693	13312803
1	13168693	13312803
1	13168693	13312803
1	13168693	13312803
1	13168693	13312803
1	13168699	13363118
1	13168699	13363118
1	13168699	13330100
1	13168699	13413491
1	13181499	13226363
1	13181499	13191047
1	13181499	13184190
1	13191047	13454938
1	13191047	13330100
1	13191047	13330100
1	13191047	13217064
1	13196130	13198485
1	13196671	13217064
1	13217533	13393818
1	13217533	13385237
1	13221120	13224036
1	13226363	13235919
1	13234645	13243909
1	13235460	13241302
1	13239146	13241304
1	13247407	13267295
1	13247407	13369791
1	13247407	13342438
1	13262294	13312755
1	13265177	13289899
1	13265177	13275748
1	13266973	13269118
1	13266973	13268944
1	13269724	13279022
1	13280806	13318644
1	13283514	13304911
1	13290106	13297718
1	13295635	13311633
1	13297579	13297718
1	13303516	13303706
1	13303516	13303563
1	13308896	13308941
1	13312803	13327322
1	13330100	13396660
1	13330100	13393520
1	13331460	13370162
1	13341834	13344195
1	13342376	13368905
1	13366668	13369715
1	13366668	13369609
1	13366685	13369765
1	13366712	13369760
1	13366765	13369756
1	13377112	13384921
1	13377519	13384915
1	13380367	13384921
1	13380504	13384921
1	13390421	13416623
1	13416563	13416623
1	13447617	13450948
1	13447617	13450992
1	13451755	13454644
1	13451755	13454644
1	13453623	13454644
1	13455628	13463323
1	13471025	13475969
1	13471025	13483123
1	13527695	13527884
1	13546493	13553694
1	13556991	13557977
1	13640313	13689700
1	13798423	13798482
1	13836545	13840521
1	13836567	13840323
1	13836592	13840521
1	13836598	13840507
1	13968824	13969332
1	13985114	14045091
1	13985114	14045091
1	14109507	14112465
1	14109816	14112453
1	14109855	14110160
1	14221560	14230597
1	14234376	14237487
1	14292726	14295946
1	14404616	14408158
1	14409289	14415763
1	14499162	14501586
1	14683951	14946685
1	14763161	14765194
1	14879994	15130324
1	14948425	14953077
1	14948425	14953077
1	15000150	15001095
1	15000179	15000799
1	15000179	15000799
1	15038471	15039126
1	15066799	15385027
1	15129647	15134512
1	15129647	15134512
1	15160438	15164967
1	15231316	15232060
1	15249736	15251616
1	15254829	15255882
1	15254829	15255882
1	15330888	15332965
1	15359501	15359560
1	15448236	15455272
1	15455589	15476039
1	15465931	15484726
1	15522041	15544008
1	15523927	15528576
1	15524047	15525072
1	15528989	15529525
1	15586647	15587117
1	15594223	15610588
1	15597451	15600871
1	15608596	15611731
1	15642115	15707706
1	15674246	15694007
1	15675022	15683289
1	15683049	15684895
1	15683049	15684895
1	15693159	15695642
1	15736729	15742648
1	15758440	15784643
1	15761329	15783174
1	15803087	15804935
1	15819697	15822287
1	15824235	15829795
1	15825779	15828848
1	15825779	15829007
1	15831216	15854399
1	15859352	15866376
1	15883781	15886967
1	15883781	15886967
1	15942428	15943799
1	15943197	15943369
1	15994515	16187991
1	16021092	16063978
1	16027986	16049783
1	16029990	16030057
1	16031106	16035805
1	16033710	16034434
1	16034450	16061536
1	16037445	16062808
1	16040159	16062671
1	16043704	16050145
1	16048779	16048833
1	16049834	16050360
1	16050021	16059762
1	16051506	16051771
1	16051520	16056309
1	16052336	16061136
1	16053724	16055396
1	16062073	16062120
1	16103207	16108691
1	16240324	16268499
1	16241775	16266220
1	16291191	16438467
1	16305885	16313447
1	16323275	16330799
1	16423306	16430001
1	16483368	16485099
1	16499927	16537930
1	16506757	16517153
1	16509859	16778024
1	16514660	16515662
1	16514660	16562922
1	16518238	16924566
1	16521996	16783804
1	16527848	16537089
1	16528270	16558340
1	16528407	16536184
1	16535866	16536184
1	16535866	16537405
1	16535916	16536184
1	16550293	16675930
1	16560661	16613520
1	16564315	16564919
1	16564366	16567259
1	16580783	16580833
1	16580783	16595005
1	16591938	16594695
1	16592209	16647080
1	16594653	16600684
1	16608452	16617152
1	16609461	16643961
1	16609461	16679483
1	16613335	16613613
1	16613569	16617152
1	16613728	16623159
1	16613728	16623159
1	16614293	16629560
1	16623742	16682229
1	16630181	16684915
1	16630392	16649912
1	16636774	16643961
1	16638079	16657024
1	16646108	16650241
1	16649106	16650406
1	16681240	16732955
1	16682863	16686253
1	16683211	16782391
1	16686146	16705084
1	16709358	16726994
1	16718677	16727517
1	16724996	16757504
1	16728225	16799031
1	16732557	16788217
1	16756093	16757155
1	16756105	16758288
1	16756981	16765228
1	16758237	16759399
1	16758237	16760824
1	16758242	16759399
1	16759338	16759399
1	16759338	16760824
1	16760768	16872016
1	16849227	16855115
1	16849240	16877900
1	16854842	16952578
1	16861266	16969714
1	16863509	16898730
1	16864440	16949690
1	16870741	16889666
1	16870830	16875401
1	16871759	16872067
1	16877002	16891412
1	16879667	16894135
1	16879722	16893990
1	16898730	17042248
1	16908614	16952120
1	16918718	16935752
1	16922041	16926943
1	16922087	16924455
1	16922313	16926943
1	16925202	16938336
1	16932470	16935752
1	16937587	16953471
1	16938484	16938989
1	16938525	16940124
1	16938898	16938989
1	16938898	16942454
1	16946743	16948543
1	16946918	16954164
1	16993283	17060385
1	17034506	17036842
1	17094094	17112700
1	17146537	17230683
1	17159086	17187357
1	17266945	17292812
1	17268401	17293514
1	17270071	17270924
1	17273415	17276795
1	17280725	17292812
1	17296159	17306751
1	17315532	17316425
1	17349391	17350894
1	17349440	17350861
1	17349677	17351170
1	17349773	17352435
1	17350278	17350541
1	17389749	17400883
1	17398584	17398805
1	17454768	17520426
1	17489159	17493234
1	17492580	17529328
1	17505253	17520426
1	17513894	17517730
1	17671228	17677360
1	17735301	17736532
1	17782007	17783256
1	18020228	18047245
1	18107806	18108081
1	18250457	18275416
1	18877472	18879339
1	18999732	19001969
1	19029157	19033382
1	19043396	19046692
1	19060168	19060854
1	19270472	19287394
1	19271067	19273682
1	19273138	19287996
1	19273138	19288033
1	19273638	19278939
1	19285977	19286022
1	19314095	19334376
1	19317539	19329341
1	19320695	19321847
1	19330124	19334699
1	19393598	19405164
1	19524537	19535917
1	19540169	19609154
1	19568894	19575489
1	19643951	19644147
1	19643951	19645616
1	19763983	19765469
1	19769795	19890367
1	19799818	19799907
1	19882415	19882599
1	19900606	19916507
1	19959972	19962077
1	20058265	20154347
1	20080592	20084194
1	20080605	20084179
1	20080605	20084179
1	20170696	20171244
1	20170736	20171296
1	20172254	20174040
1	20172511	20174305
1	20172511	20174305
1	20229536	20271858
1	20288138	20289574
1	20316489	20317340
1	20448362	20461342
1	20537539	20538253
1	20606024	20607151
1	20606024	20607151
1	20606193	20607400
1	20674805	20707182
1	20691585	20692919
1	20709430	20732676
1	20972870	21067736
1	21017563	21018500
1	21019842	21020448
1	21216942	21222062
1	21279550	21290326
1	21332335	21332955
1	21345328	21345373
1	21358479	21360821
1	21364910	21390570
1	21365404	21389842
1	21375480	21486560
1	21413642	21428235
1	21430780	21433680
1	21440304	21445228
1	21459941	21467117
1	21466986	21467117
1	21467015	21471632
1	21472498	21484424
1	21481753	21481813
1	21496460	21501564
1	21496658	21500073
1	21496658	21503843
1	21567895	21569852
1	21680759	21681000
1	21712494	21795169
1	21767703	21980886
1	21775623	21961448
1	21786593	21794877
1	21790929	21795470
1	21831087	21831310
1	21833618	21902597
1	21878497	21878635
1	21880436	21880700
1	21880570	21880750
1	21967392	22015846
1	21967392	22015846
1	21969814	22015896
1	21977171	22001806
1	21978382	21980886
1	21980825	21980886
1	21980825	21984304
1	21982707	22011353
1	21984211	22010873
1	21994240	22014114
1	21998189	22002543
1	21998720	22012182
1	22003023	22006814
1	22005449	22005921
1	22007393	22009822
1	22065274	22105284
1	22142813	22142937
1	22173265	22182811
1	22175223	22182713
1	22177283	22194258
1	22225125	22229433
1	22542180	22544540
1	22560015	22561802
1	22560032	22561770
1	22560032	22561770
1	22562682	22564656
1	22563786	22564686
1	22563886	22564686
1	22589669	22593456
1	22593271	22593456
1	22765573	22920902
1	22871032	22877690
1	23148748	23153604
1	23269611	23270884
1	23350646	23354011
1	23409658	23411267
1	23436972	23437345
1	23437243	23437345
1	23437298	23437345
1	23484064	23484210
1	23521984	23522036
