ID	Notes	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
NM_001198820	D	A1CF	APOBEC1 complementation factor	Nucleus	other	 	
NM_138933	D	A1CF	APOBEC1 complementation factor	Nucleus	other	 	
NM_138932	D	A1CF	APOBEC1 complementation factor	Nucleus	other	 	
NM_001198818	D	A1CF	APOBEC1 complementation factor	Nucleus	other	 	
NM_001198819	D	A1CF	APOBEC1 complementation factor	Nucleus	other	 	
NM_014576	D	A1CF	APOBEC1 complementation factor	Nucleus	other	 	
NM_017436	D	A4GALT	alpha 1,4-galactosyltransferase	Cytoplasm	enzyme	 	
NM_001318038	D	A4GALT	alpha 1,4-galactosyltransferase	Cytoplasm	enzyme	 	
NM_207365	 	AADACL2	arylacetamide deacetylase-like 2	Other	other	 	
NM_001271885	D	AAGAB	alpha- and gamma-adaptin binding protein	Cytoplasm	other	 	
NM_001271886	D	AAGAB	alpha- and gamma-adaptin binding protein	Cytoplasm	other	 	
NM_024666	D	AAGAB	alpha- and gamma-adaptin binding protein	Cytoplasm	other	 	
NM_001302545	D	AAMP	angio associated migratory cell protein	Plasma Membrane	other	 	
NM_001087	D	AAMP	angio associated migratory cell protein	Plasma Membrane	other	 	
NM_005763	 	AASS	aminoadipate-semialdehyde synthase	Cytoplasm	enzyme	 	
NM_005502	 	ABCA1	ATP binding cassette subfamily A member 1	Plasma Membrane	transporter	probucol	
NR_103740	D	ABCA12	ATP binding cassette subfamily A member 12	Plasma Membrane	transporter	 	
NM_015657	D	ABCA12	ATP binding cassette subfamily A member 12	Plasma Membrane	transporter	 	
NM_173076	D	ABCA12	ATP binding cassette subfamily A member 12	Plasma Membrane	transporter	 	
NM_001606	D	ABCA2	ATP binding cassette subfamily A member 2	Plasma Membrane	transporter	 	
NM_212533	D	ABCA2	ATP binding cassette subfamily A member 2	Plasma Membrane	transporter	 	
NM_000350	 	ABCA4	ATP binding cassette subfamily A member 4	Plasma Membrane	transporter	 	
NM_001288985	D	ABCA8	ATP binding cassette subfamily A member 8	Plasma Membrane	transporter	 	
NM_001288986	D	ABCA8	ATP binding cassette subfamily A member 8	Plasma Membrane	transporter	 	
NM_007168	D	ABCA8	ATP binding cassette subfamily A member 8	Plasma Membrane	transporter	 	
NM_080283	 	ABCA9	ATP binding cassette subfamily A member 9	Cytoplasm	transporter	 	
NM_012089	 	ABCB10	ATP binding cassette subfamily B member 10	Cytoplasm	transporter	 	
NM_005689	 	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Cytoplasm	transporter	 	
NM_001271698	D	ABCB7	ATP binding cassette subfamily B member 7	Cytoplasm	transporter	 	
NM_001271696	D	ABCB7	ATP binding cassette subfamily B member 7	Cytoplasm	transporter	 	
NM_001271697	D	ABCB7	ATP binding cassette subfamily B member 7	Cytoplasm	transporter	 	
NM_001271699	D	ABCB7	ATP binding cassette subfamily B member 7	Cytoplasm	transporter	 	
NM_004299	D	ABCB7	ATP binding cassette subfamily B member 7	Cytoplasm	transporter	 	
NM_145186	D	ABCC11	ATP binding cassette subfamily C member 11	Plasma Membrane	transporter	 	
NM_033151	D	ABCC11	ATP binding cassette subfamily C member 11	Plasma Membrane	transporter	 	
NM_032583	D	ABCC11	ATP binding cassette subfamily C member 11	Plasma Membrane	transporter	 	
NM_033226	 	ABCC12	ATP binding cassette subfamily C member 12	Cytoplasm	transporter	 	
NM_000392	 	ABCC2	ATP binding cassette subfamily C member 2	Plasma Membrane	transporter	sulfinpyrazone	
NM_005688	D	ABCC5	ATP binding cassette subfamily C member 5	Plasma Membrane	other	 	
NM_001023587	D	ABCC5	ATP binding cassette subfamily C member 5	Plasma Membrane	other	 	
NR_046570	 	ABCC5-AS1	ABCC5 antisense RNA 1	Other	other	 	
NM_002858	D	ABCD3	ATP binding cassette subfamily D member 3	Cytoplasm	transporter	 	
NM_001122674	D	ABCD3	ATP binding cassette subfamily D member 3	Cytoplasm	transporter	 	
NM_005050	D	ABCD4	ATP binding cassette subfamily D member 4	Cytoplasm	transporter	 	
NR_003256	D	ABCD4	ATP binding cassette subfamily D member 4	Cytoplasm	transporter	 	
NM_002940	D	ABCE1	ATP binding cassette subfamily E member 1	Cytoplasm	transporter	 	
NM_001040876	D	ABCE1	ATP binding cassette subfamily E member 1	Cytoplasm	transporter	 	
NM_004915	D	ABCG1	ATP binding cassette subfamily G member 1	Plasma Membrane	transporter	 	
NM_016818	D	ABCG1	ATP binding cassette subfamily G member 1	Plasma Membrane	transporter	 	
NM_207174	D	ABCG1	ATP binding cassette subfamily G member 1	Plasma Membrane	transporter	 	
NM_207628	D	ABCG1	ATP binding cassette subfamily G member 1	Plasma Membrane	transporter	 	
NM_207629	D	ABCG1	ATP binding cassette subfamily G member 1	Plasma Membrane	transporter	 	
NM_207627	D	ABCG1	ATP binding cassette subfamily G member 1	Plasma Membrane	transporter	 	
NM_001272069	D	ABHD10	abhydrolase domain containing 10	Cytoplasm	enzyme	 	
NM_018394	D	ABHD10	abhydrolase domain containing 10	Cytoplasm	enzyme	 	
NR_073570	D	ABHD10	abhydrolase domain containing 10	Cytoplasm	enzyme	 	
NR_073571	D	ABHD10	abhydrolase domain containing 10	Cytoplasm	enzyme	 	
NM_015600	D	ABHD12	abhydrolase domain containing 12	Plasma Membrane	enzyme	 	
NM_001042472	D	ABHD12	abhydrolase domain containing 12	Plasma Membrane	enzyme	 	
NM_032859	 	ABHD13	abhydrolase domain containing 13	Other	peptidase	 	
NM_001025780	D	ABHD17B	abhydrolase domain containing 17B	Other	peptidase	 	
NM_016014	D	ABHD17B	abhydrolase domain containing 17B	Other	peptidase	 	
NM_021214	 	ABHD17C	abhydrolase domain containing 17C	Other	enzyme	 	
NM_001308256	D	ABHD3	abhydrolase domain containing 3	Plasma Membrane	enzyme	 	
NM_138340	D	ABHD3	abhydrolase domain containing 3	Plasma Membrane	enzyme	 	
NM_015429	 	ABI3BP	ABI family member 3 binding protein	Extracellular Space	other	 	
NM_007313	D	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Nucleus	kinase	nilotinib, saracatinib, regorafenib, ponatinib, cyclophosphamide/daunorubicin/imatinib/prednisone/vincristine, imatinib/nilotinib/pegintron, bosutinib, imatinib, temozolomide	
NM_005157	D	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Nucleus	kinase	nilotinib, saracatinib, regorafenib, ponatinib, cyclophosphamide/daunorubicin/imatinib/prednisone/vincristine, imatinib/nilotinib/pegintron, bosutinib, imatinib, temozolomide	
NM_007314	D	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Cytoplasm	kinase	 	
NM_001136001	D	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Cytoplasm	kinase	 	
NM_001136000	D	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Cytoplasm	kinase	 	
NM_005158	D	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Cytoplasm	kinase	 	
NM_001168239	D	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Cytoplasm	kinase	 	
NM_001168238	D	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Cytoplasm	kinase	 	
NM_001168237	D	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Cytoplasm	kinase	 	
NM_001168236	D	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Cytoplasm	kinase	 	
NM_001301018	D	ABLIM3	actin binding LIM protein family member 3	Cytoplasm	other	 	
NM_001301015	D	ABLIM3	actin binding LIM protein family member 3	Cytoplasm	other	 	
NM_014945	D	ABLIM3	actin binding LIM protein family member 3	Cytoplasm	other	 	
NM_001301027	D	ABLIM3	actin binding LIM protein family member 3	Cytoplasm	other	 	
NM_001301028	D	ABLIM3	actin binding LIM protein family member 3	Cytoplasm	other	 	
NM_021243	 	ABRACL	ABRA C-terminal like	Other	other	 	
NM_013375	 	ABT1	activator of basal transcription 1	Nucleus	transcription regulator	 	
NM_145804	 	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	Nucleus	other	 	
NM_001607	D	ACAA1	acetyl-CoA acyltransferase 1	Cytoplasm	enzyme	trimetazidine	
NM_001130410	D	ACAA1	acetyl-CoA acyltransferase 1	Cytoplasm	enzyme	trimetazidine	
NR_024024	D	ACAA1	acetyl-CoA acyltransferase 1	Cytoplasm	enzyme	trimetazidine	
NM_001093	 	ACACB	acetyl-CoA carboxylase beta	Cytoplasm	enzyme	 	
NM_025247	D	ACAD10	acyl-CoA dehydrogenase family member 10	Cytoplasm	enzyme	 	
NM_001136538	D	ACAD10	acyl-CoA dehydrogenase family member 10	Cytoplasm	enzyme	 	
NR_132426	D	ACAD11	acyl-CoA dehydrogenase family member 11	Cytoplasm	enzyme	 	
NR_132427	D	ACAD11	acyl-CoA dehydrogenase family member 11	Cytoplasm	enzyme	 	
NR_132428	D	ACAD11	acyl-CoA dehydrogenase family member 11	Cytoplasm	enzyme	 	
NM_032169	D	ACAD11	acyl-CoA dehydrogenase family member 11	Cytoplasm	enzyme	 	
NR_033426	D	ACAD9	acyl-CoA dehydrogenase family member 9	Cytoplasm	enzyme	 	
NM_014049	D	ACAD9	acyl-CoA dehydrogenase family member 9	Cytoplasm	enzyme	 	
NM_001608	 	ACADL	acyl-CoA dehydrogenase, long chain	Cytoplasm	enzyme	 	
NM_001609	 	ACADSB	acyl-CoA dehydrogenase, short/branched chain	Cytoplasm	enzyme	 	
NM_013227	D	ACAN	aggrecan	Extracellular Space	other	 	
NM_001135	D	ACAN	aggrecan	Extracellular Space	other	 	
NM_001031854	 	ACCSL	1-aminocyclopropane-1-carboxylate synthase (inactive)-like	Other	other	 	
NM_021804	 	ACE2	angiotensin I converting enzyme 2	Plasma Membrane	peptidase	hydrochlorothiazide/lisinopril, hydrochlorothiazide/moexipril, moexipril, lisinopril	
NM_018367	D	ACER3	alkaline ceramidase 3	Cytoplasm	enzyme	 	
NM_001300954	D	ACER3	alkaline ceramidase 3	Cytoplasm	enzyme	 	
NM_001300953	D	ACER3	alkaline ceramidase 3	Cytoplasm	enzyme	 	
NM_001300955	D	ACER3	alkaline ceramidase 3	Cytoplasm	enzyme	 	
NM_001164815	D	ACIN1	apoptotic chromatin condensation inducer 1	Nucleus	enzyme	 	
NM_001164816	D	ACIN1	apoptotic chromatin condensation inducer 1	Nucleus	enzyme	 	
NM_014977	D	ACIN1	apoptotic chromatin condensation inducer 1	Nucleus	enzyme	 	
NM_001164814	D	ACIN1	apoptotic chromatin condensation inducer 1	Nucleus	enzyme	 	
NM_001164817	D	ACIN1	apoptotic chromatin condensation inducer 1	Nucleus	enzyme	 	
NM_001122951	D	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Plasma Membrane	G-protein coupled receptor	 	
NM_002036	D	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Plasma Membrane	G-protein coupled receptor	 	
NM_001296	 	ACKR2	atypical chemokine receptor 2	Plasma Membrane	G-protein coupled receptor	 	
NM_178445	D	ACKR4	atypical chemokine receptor 4	Plasma Membrane	G-protein coupled receptor	 	
NM_016557	D	ACKR4	atypical chemokine receptor 4	Plasma Membrane	G-protein coupled receptor	 	
NM_001307983	D	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Cytoplasm	enzyme	 	
NM_138326	D	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Cytoplasm	enzyme	 	
NM_001278352	D	ACO1	aconitase 1	Cytoplasm	enzyme	 	
NM_002197	D	ACO1	aconitase 1	Cytoplasm	enzyme	 	
NM_130767	 	ACOT12	acyl-CoA thioesterase 12	Cytoplasm	enzyme	 	
NM_001160094	D	ACOT13	acyl-CoA thioesterase 13	Cytoplasm	enzyme	 	
NM_018473	D	ACOT13	acyl-CoA thioesterase 13	Cytoplasm	enzyme	 	
NM_001037171	D	ACOT9	acyl-CoA thioesterase 9	Cytoplasm	enzyme	 	
NM_001033583	D	ACOT9	acyl-CoA thioesterase 9	Cytoplasm	enzyme	 	
NM_004035	D	ACOX1	acyl-CoA oxidase 1, palmitoyl	Cytoplasm	enzyme	 	
NM_007292	D	ACOX1	acyl-CoA oxidase 1, palmitoyl	Cytoplasm	enzyme	 	
NM_001185039	D	ACOX1	acyl-CoA oxidase 1, palmitoyl	Cytoplasm	enzyme	 	
NM_001302489	D	ACP2	acid phosphatase 2, lysosomal	Cytoplasm	phosphatase	 	
NM_001610	D	ACP2	acid phosphatase 2, lysosomal	Cytoplasm	phosphatase	 	
NM_001302492	D	ACP2	acid phosphatase 2, lysosomal	Cytoplasm	phosphatase	 	
NM_001302491	D	ACP2	acid phosphatase 2, lysosomal	Cytoplasm	phosphatase	 	
NM_001302490	D	ACP2	acid phosphatase 2, lysosomal	Cytoplasm	phosphatase	 	
NM_033068	 	ACPT	acid phosphatase, testicular	Other	phosphatase	 	
NM_015162	D	ACSBG1	acyl-CoA synthetase bubblegum family member 1	Cytoplasm	enzyme	 	
NM_001199377	D	ACSBG1	acyl-CoA synthetase bubblegum family member 1	Cytoplasm	enzyme	 	
NM_001289177	D	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Cytoplasm	enzyme	 	
NM_001289178	D	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Cytoplasm	enzyme	 	
NM_001289179	D	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Cytoplasm	enzyme	 	
NM_001289180	D	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Cytoplasm	enzyme	 	
NM_030924	D	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Cytoplasm	enzyme	 	
NM_032501	D	ACSS1	acyl-CoA synthetase short-chain family member 1	Cytoplasm	enzyme	 	
NM_001252675	D	ACSS1	acyl-CoA synthetase short-chain family member 1	Cytoplasm	enzyme	 	
