chr	VR_start	VR_stop	Overlapping_Gene_Start	Overlapping_Gene_Stop	Overlapping_GeneID	Overlap_Type	Number_of_Overlapping_Genes	Percentage_of_Gene_Overlapping_VR	Percentage_of_VR_Overlapping_Gene
1	10001	4952295	11873,14361,17368,30365,34610,69090,134772,187890,205128,450739,490755,627379,632324,685715,725758,764864,817370,826205,827590,827590,827797,868070,916817,925740,944202,960586,966496,975198,998961,998963,1013466,1020122,1071745,1081817,1137016,1167103,1167862,1169004,1173905,1179696,1203507,1211325,1216907,1232248,1242445,1253911,1280435,1292383,1296109,1308613,1311584,1312501,1324762,1331345,1335277,1339649,1352688,1352688,1352688,1352688,1373729,1373729,1373730,1385710,1392287,1399529,1401895,1401908,1418419,1426127,1430156,1435522,1449688,1471754,1478114,1512142,1512529,1534777,1541672,1598007,1615414,1615864,1632180,1632779,1635225,1661477,1699938,1702383,1724837,1727384,1751231,1751231,1751231,1751231,1785284,1914826,1917589,1921950,2019328,2050469,2073646,2073985,2104715,2184459,2184459,2189548,2189548,2191894,2228694,2321252,2350414,2355174,2374853,2391774,2404801,2467458,2476314,2508530,2528744,2549919,2556364,2566534,2586459,2586749,2590641,2641367,3021481,3059616,3064071,3069177,3127974,3454582,3487941,3560695,3624991,3630766,3652564,3690671,3698045,3735983,3735983,3752400,3772760,3772786,3780219,3812080,3857266,3889132,3900403,3940611,4412050,4655044,4655044	14409,29370,17436,30503,36081,70008,140566,187958,206597,451678,495445,629009,632413,686654,730351,778688,819834,827522,843604,859446,859446,876802,919692,944581,959299,965719,975104,982117,1000172,1000172,1014539,1056119,1074307,1116356,1144054,1167198,1167952,1169087,1197933,1185863,1206709,1214168,1232067,1235040,1246722,1273854,1292029,1307889,1296170,1311677,1324687,1312566,1328896,1335320,1349112,1339708,1363541,1361777,1358794,1358547,1375438,1375200,1375182,1399338,1399338,1402046,1407313,1407313,1421444,1427787,1434573,1442882,1470158,1496204,1496204,1534687,1534687,1540360,1574882,1600096,1630610,1630610,1634654,1634651,1659097,1692804,1701808,1724565,1745999,1745999,1758642,1778858,1778470,1780069,1891117,1917294,1919301,2003837,2030753,2185395,2185395,2185395,2185395,2207733,2194775,2212720,2194775,2194775,2310213,2391751,2352661,2391751,2391751,2405446,2412571,2505530,2505530,2526628,2530245,2557011,2565622,2584534,2591469,2591469,2633042,2789665,3022903,3067725,3067725,3438621,3128035,3481113,3611495,3560790,3630130,3650107,3736201,3736201,3736201,3746771,3747373,3771645,3775982,3775982,3796504,3857233,3885429,3900293,3915447,3952583,4424684,4777794,4783791	NR_046018,NR_024540,NR_107063/NR_128720/NR_106918/NR_107062,NR_036267/NR_036266/NR_036268/NR_036051,NR_026822/NR_026820/NR_026818,NM_001005484,NR_039983,NR_107063/NR_128720/NR_106918/NR_107062,NR_026823,NM_001005224/NM_001005221/NM_001005277,NR_028325/NR_028322,NR_125957,NR_106781,NM_001005224/NM_001005277/NM_001005221,NR_028327,NR_033908,NR_103536,NR_024321,NR_047526,NR_047524/NR_047523/NR_047521/NR_047519,NR_047525,NR_027055,NR_026874/NR_122045,NM_152486,NM_015658,NM_198317,NM_032129/NM_001160184,NM_001291367/NM_001291366,NM_021170,NM_001142467,NM_005101,NM_001305275/NM_198576,NM_001205252,NM_017891,NR_038869,NR_029639,NR_029834,NR_029957,NM_001130045,NM_153254,NM_004195/NM_148902/NM_148901,NM_003327,NM_016547/NM_016176,NM_080605,NM_001014980,NM_058167/NM_194458/NM_194457/NM_194315,NR_037668/NM_001130413,NM_030649,NR_106784,NM_153339,NM_017871/NM_001256463/NM_001256462/NM_001256460/NM_001256456,NR_106785,NM_001029885,NM_152228,NM_004421,NR_106866,NM_001282582,NM_001282583,NM_001282584/NM_032348,NM_001282585,NM_017900,NM_001127229,NM_001127230,NM_030937,NM_001039577,NR_015434,NM_017971,NM_001318485,NM_001145210/NM_001243536/NM_001243535,NM_001146685,NR_125994/NR_125995/NR_125996,NM_022834/NM_199121,NM_001039211,NM_031921,NM_001317238,NM_001170535/NM_018188,NM_001170536,NM_001114748,NM_014188,NM_001242659,NM_001170687/NM_080875/NM_001170686/NR_033183/NM_001170688,NM_001170689,NM_006983,NR_002946,NM_033490/NM_001787/NM_001291345/NM_033489/NM_033487/NM_033486,NM_001110781/NM_001290264,NR_002946,NM_024011/NM_001313896/NM_001313982/NM_033529/NR_132739/NR_132740,NM_001199787,NM_182838,NM_001198995,NM_001198993,NM_023018,NM_001198994,NM_001282539/NM_001282538/NM_002074,NM_138705,NM_178545,NM_001304360,NM_000815,NM_002744,NM_001033581,NM_001242874,NM_001033582,NM_001146310,NM_001256945/NM_001282673/NM_001282672/NM_001282671,NM_001282670,NM_001256947/NR_046427/NM_182533,NM_001256946,NM_003036,NM_024848,NR_024489,NM_001301060,NR_125361,NM_007033,NM_153818/NM_002617,NM_001303012,NM_001303013/NM_014638,NM_018216,NM_001010926,NR_037844,NM_003820/NM_001297605,NR_121638,NR_036637/NR_036638,NM_001195738/NM_001195741/NM_001195737/NM_152371/NM_001195736/NM_001195740,NM_033467,NM_001242672,NM_080431,NR_015440,NR_024371,NM_022114/NM_199454,NR_036215,NM_014448,NM_001409,NR_030277,NM_182752,NM_017818,NM_001204187/NM_001204186/NM_001204185/NM_001204184/NM_001204188/NM_005427,NM_001126242/NM_001204189/NM_001204190/NM_001126241/NM_001126240/NM_001204191,NM_001204192,NR_033712,NR_033711/NR_033710/NR_033709/NR_033708,NM_152492,NM_001288583,NM_001163724,NM_020710,NM_014704,NM_001282669/NM_004402/NR_104222,NM_207356,NR_024455,NR_040065,NR_027088,NM_001042478,NM_018836	7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7	153	100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0	0.0513122044136,0.30368488803,0.00137587929816,0.00279222563449,0.0297635065822,0.0185743705251,0.117233009611,0.00137587929816,0.029723039544,0.018999274426,0.0948952045346,0.0329806361176,0.00180078319906,0.018999274426,0.0929325531828,0.279708167907,0.0498553910391,0.0266475446422,0.324019574716,0.644558984148,0.640370645696,0.176679088698,0.0581713673853,0.381219733185,0.30546543771,0.103858653492,0.174170132331,0.139995718587,0.0245027916186,0.0244623245804,0.0217105659841,0.728345986702,0.0518382759099,0.698845515868,0.142403507359,0.0019221843136,0.00182101671815,0.00167938208451,0.486170996707,0.124780112231,0.0647877281279,0.0575238947744,0.306740149412,0.0564919853008,0.0865387611502,0.403517071222,0.234587420336,0.313740947018,0.00123424466452,0.0619955024934,0.265119800643,0.00131517874088,0.0836453679202,0.0804282383848,0.279930736617,0.00119377762634,0.219594382689,0.183902455014,0.123545867567,0.118548188351,0.0345790841257,0.0297635065822,0.0293790697194,0.275742398166,0.142666543107,0.0509277675509,0.109625206432,0.109362170684,0.0612063952488,0.0335876416903,0.0893714538229,0.148918700506,0.414180135783,0.494709541763,0.366024360348,0.456164687896,0.448334316008,0.112963737082,0.671955168996,0.0422678213801,0.3074685561,0.298363472509,0.05005772623,0.0378771477375,0.483014567729,0.633855452549,0.0378366806993,0.448819920466,0.428181730994,0.37664695787,0.14995060998,0.558991431914,0.551140826507,0.583494223533,2.14137402591,0.0499363251154,0.034639784683,1.65686217777,0.231167955609,2.73002779681,2.26107552485,2.25421636188,1.63244032022,0.470914923313,0.208728982938,0.468851104366,0.105760604286,0.0582927684998,1.64941624274,1.42644286236,0.0454647173964,0.740081427774,0.341906005592,0.276632673006,0.157214443333,0.770330538815,0.591142493749,0.3661862285,0.0303705121549,0.14349611739,0.18732191974,0.364203343629,0.101369930644,0.0955022101073,0.857921442957,3.00059041409,0.0287720641467,0.164073606305,0.0739332787568,7.47515222688,0.00123424466452,0.536815494991,2.49993221771,0.0019221843136,0.103980054606,0.39133649273,1.69227083617,0.921232124192,0.772030154418,0.218279203949,0.230459782441,0.389394074897,0.0651923985097,0.0646663270133,0.329502858389,0.913604087495,0.569836598147,0.225826306569,0.304393061198,0.242235690552,0.25563028019,2.48366446836,2.60500488235
1	4968006	5000178	-	-	-	-	0	0	0
1	5003228	5003829	-	-	-	-	0	0	0
1	5008150	5008895	-	-	-	-	0	0	0
1	5029980	5030035	-	-	-	-	0	0	0
1	5043977	5119047	-	-	-	-	0	0	0
1	5120794	5120870	-	-	-	-	0	0	0
1	5136611	5137354	-	-	-	-	0	0	0
1	5160091	5160836	-	-	-	-	0	0	0
1	5178654	5179767	-	-	-	-	0	0	0
1	5218546	5583684	5564070	5564143	NR_039612	7	1	100.0	0.019992441214
1	5584586	5585385	-	-	-	-	0	0	0
1	5593289	5593289	-	-	-	-	0	0	0
