Chromosome	Start_Range	End_Range	Count_of_CpG_Islands	Normalized_Amount_GC	N_Percentage
1	1	10000	0	0.0	0.986
1	4952296	4968005	85	0.419987269255	0.0
1	5000179	5003227	0	0.461790751066	0.0
1	5003830	5008149	0	0.486342592593	0.0
1	5008896	5029979	0	0.438911022576	0.0
1	5030036	5043976	0	0.492002008464	0.0
1	5119048	5120793	0	0.473654066438	0.0
1	5120871	5136610	0	0.363532401525	0.0
1	5137355	5160090	241	0.397123504574	0.0
1	5160837	5178653	31	0.380535443677	0.0
1	5179768	5218545	186	0.437567693022	0.0
1	5583685	5584585	0	0.441731409545	0.0
1	5585386	5593288	49	0.534733645451	0.0
1	5593291	5603162	88	0.454213938412	0.0
1	5603531	5603773	0	0.534979423868	0.0
1	5603835	5608113	77	0.526758588455	0.0
1	5611320	5653645	18	0.411449227425	0.0
1	5658066	5664604	0	0.456185961156	0.0
1	5677104	5678908	0	0.506925207756	0.0
1	5686891	5693289	0	0.357555868104	0.0
1	6630081	6642090	40	0.452289758535	0.0
1	7178604	7260424	1016	0.472091516848	0.0
1	7260426	7261550	0	0.363555555556	0.0
1	7271255	7292549	27	0.422258746185	0.0
1	7314291	7337508	165	0.470195537945	0.0
1	7337567	7340343	71	0.504501260353	0.0
1	7391951	7403340	24	0.473046532046	0.0
1	7409241	7417240	174	0.34425	0.0
1	7688941	7702968	221	0.535429141717	0.0
1	7707441	7732017	491	0.501322374578	0.0
1	7732030	7743060	240	0.532680627323	0.0
1	7744392	7796336	3078	0.560535181442	0.0
1	7804881	7829414	2283	0.470326893291	0.0
1	7830305	7838648	168	0.446308724832	0.0
1	7838650	7848691	317	0.452997410874	0.0
1	7849454	7856616	302	0.427753734469	0.0
1	7856618	7861407	25	0.407098121086	0.0
1	7899932	7902862	0	0.428522688502	0.0
1	7903427	7913134	124	0.417284713638	0.0
1	7913483	7915220	0	0.406214039125	0.0
1	7918245	7942009	565	0.390363980644	0.0
1	7942320	7954178	14	0.38291592883	0.0
1	7987434	7990349	209	0.489711934156	0.0
1	7990710	8026828	503	0.433677565824	0.0
1	8027004	8035350	0	0.43644423146	0.0
