chr	VR_start	VR_stop	Overlapping_Gene_Start	Overlapping_Gene_Stop	Overlapping_GeneID	Overlap_Type	Number_of_Overlapping_Genes	Percentage_of_Gene_Overlapping_VR	Percentage_of_VR_Overlapping_Gene
1	10001	4952295	2019328,450739,685715,69090,2528744,1242445,1324762,2073646,2104715,1449688,1392287,4655044,1661477,1534777,3690671,1373729,1373730,1173905,998963,1418419,2184459,1426127,3772786,1512142,1512529,1615414,1615864,2586749,1751231,1751231,1751231,1724837,3652564,3698045,1071745,1598007,2641367,2073985,2184459,2191894,2189548,1785284,1352688,1352688,1352688,1352688,3857266,2189548,3772760,975198,2355174,2467458,2476314,1921950,1020122,1478114,1401908,3487941,2050469,2228694,1211325,2556364,1203507,1335277,1013466,1632180,2391774,1541672,3454582,3812080,944202,1216907,3630766,1311584,1081817,1373729,1401895,2508530,4655044,3780219,998961,3069177,1435522,1751231,1702383,2321252,1292383,1385710,1471754,966496,2590641,1635225,1253911,3021481,1232248,1914826,1331345,925740,3752400,1179696,1308613,2404801,1917589,3624991,1727384,960586,3889132,1632779,1699938,1399529,3059616,826205,3064071,3900403,2350414,14361,34610,205128,916817,868070,4412050,490755,725758,1167103,1167862,1169004,3560695,3735983,3735983,764864,3127974,30365,2586459,1280435,2549919,1137016,134772,3940611,11873,827590,827797,827590,817370,632324,1296109,1312501,1339649,17368,187890,2566534,2374853,627379,1430156	2030753,451678,686654,70008,2530245,1246722,1328896,2185395,2185395,1470158,1399338,4777794,1692804,1540360,3736201,1375200,1375182,1197933,1000172,1421444,2207733,1427787,3775982,1534687,1534687,1630610,1630610,2591469,1778858,1780069,1758642,1745999,3736201,3736201,1074307,1600096,2789665,2185395,2194775,2194775,2194775,1891117,1363541,1361777,1358794,1358547,3885429,2212720,3775982,982117,2391751,2505530,2505530,2003837,1056119,1496204,1407313,3611495,2185395,2310213,1214168,2565622,1206709,1349112,1014539,1634654,2405446,1574882,3481113,3857233,959299,1232067,3650107,1324687,1116356,1375438,1407313,2526628,4783791,3796504,1000172,3438621,1442882,1778470,1724565,2391751,1307889,1399338,1496204,975104,2633042,1659097,1273854,3022903,1235040,1917294,1335320,944581,3771645,1185863,1311677,2412571,1919301,3630130,1745999,965719,3900293,1634651,1701808,1402046,3067725,827522,3067725,3915447,2352661,29370,36081,206597,919692,876802,4424684,495445,730351,1167198,1167952,1169087,3560790,3747373,3746771,778688,3128035,30503,2591469,1292029,2557011,1144054,140566,3952583,14409,859446,859446,843604,819834,632413,1296170,1312566,1339708,17436,187958,2584534,2391751,629009,1434573	NM_000815,NM_001005224/NM_001005221/NM_001005277,NM_001005224/NM_001005277/NM_001005221,NM_001005484,NM_001010926,NM_001014980,NM_001029885,NM_001033581,NM_001033582,NM_001039211,NM_001039577,NM_001042478,NM_001110781/NM_001290264,NM_001114748,NM_001126242/NM_001204189/NM_001204190/NM_001126241/NM_001126240/NM_001204191,NM_001127229,NM_001127230,NM_001130045,NM_001142467,NM_001145210/NM_001243536/NM_001243535,NM_001146310,NM_001146685,NM_001163724,NM_001170535/NM_018188,NM_001170536,NM_001170687/NM_080875/NM_001170686/NR_033183/NM_001170688,NM_001170689,NM_001195738/NM_001195741/NM_001195737/NM_152371/NM_001195736/NM_001195740,NM_001198993,NM_001198994,NM_001198995,NM_001199787,NM_001204187/NM_001204186/NM_001204185/NM_001204184/NM_001204188/NM_005427,NM_001204192,NM_001205252,NM_001242659,NM_001242672,NM_001242874,NM_001256945/NM_001282673/NM_001282672/NM_001282671,NM_001256946,NM_001256947/NR_046427/NM_182533,NM_001282539/NM_001282538/NM_002074,NM_001282582,NM_001282583,NM_001282584/NM_032348,NM_001282585,NM_001282669/NM_004402/NR_104222,NM_001282670,NM_001288583,NM_001291367/NM_001291366,NM_001301060,NM_001303012,NM_001303013/NM_014638,NM_001304360,NM_001305275/NM_198576,NM_001317238,NM_001318485,NM_001409,NM_002744,NM_003036,NM_003327,NM_003820/NM_001297605,NM_004195/NM_148902/NM_148901,NM_004421,NM_005101,NM_006983,NM_007033,NM_014188,NM_014448,NM_014704,NM_015658,NM_016547/NM_016176,NM_017818,NM_017871/NM_001256463/NM_001256462/NM_001256460/NM_001256456,NM_017891,NM_017900,NM_017971,NM_018216,NM_018836,NM_020710,NM_021170,NM_022114/NM_199454,NM_022834/NM_199121,NM_023018,NM_024011/NM_001313896/NM_001313982/NM_033529/NR_132739/NR_132740,NM_024848,NM_030649,NM_030937,NM_031921,NM_032129/NM_001160184,NM_033467,NM_033490/NM_001787/NM_001291345/NM_033489/NM_033487/NM_033486,NM_058167/NM_194458/NM_194457/NM_194315,NM_080431,NM_080605,NM_138705,NM_152228,NM_152486,NM_152492,NM_153254,NM_153339,NM_153818/NM_002617,NM_178545,NM_182752,NM_182838,NM_198317,NM_207356,NR_002946,NR_002946,NR_015434,NR_015440,NR_024321,NR_024371,NR_024455,NR_024489,NR_024540,NR_026822/NR_026820/NR_026818,NR_026823,NR_026874/NR_122045,NR_027055,NR_027088,NR_028325/NR_028322,NR_028327,NR_029639,NR_029834,NR_029957,NR_030277,NR_033711/NR_033710/NR_033709/NR_033708,NR_033712,NR_033908,NR_036215,NR_036267/NR_036266/NR_036268/NR_036051,NR_036637/NR_036638,NR_037668/NM_001130413,NR_037844,NR_038869,NR_039983,NR_040065,NR_046018,NR_047524/NR_047523/NR_047521/NR_047519,NR_047525,NR_047526,NR_103536,NR_106781,NR_106784,NR_106785,NR_106866,NR_107063/NR_128720/NR_106918/NR_107062,NR_107063/NR_128720/NR_106918/NR_107062,NR_121638,NR_125361,NR_125957,NR_125994/NR_125995/NR_125996	7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7	153	100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0	0.231188189128,0.0190195079451,0.0190195079451,0.0185946040442,0.030390745674,0.0865589946693,0.0836656014393,2.26109575837,1.63246055374,0.414200369302,0.142686776626,2.48368470188,0.633875686068,0.112983970602,0.921252357711,0.0297837401013,0.0293993032385,0.486191230226,0.0244825580995,0.0612266287679,0.470935156832,0.0336078752094,0.0646865605324,0.456184921415,0.448354549527,0.307488789619,0.298383706028,0.0955224436264,0.559011665433,0.583514457052,0.149970843499,0.428201964513,1.69229106969,0.772050387937,0.051858509429,0.0422880548992,3.00061064761,2.25423659539,0.208749216457,0.0583130020189,0.105780837805,2.14139425943,0.219614616209,0.183922688533,0.123566101086,0.11856842187,0.569856831666,0.468871337885,0.0652126320288,0.140015952106,0.740101661293,0.770350772334,0.591162727268,1.65688241129,0.728366220221,0.366044593867,0.109382404203,2.49995245123,2.73004803033,1.64943647626,0.0575441282935,0.187342153259,0.064807961647,0.279950970137,0.0217307995032,0.0500779597491,0.276652906525,0.671975402516,0.53683572851,0.913624321014,0.305485671229,0.306760382931,0.391356726249,0.265140034162,0.698865749387,0.0345993176448,0.109645439952,0.366206462019,2.60502511587,0.329523091908,0.0245230251377,7.4751724604,0.148938934025,0.551161060026,0.448840153985,1.42646309588,0.313761180537,0.275762631685,0.494729775282,0.17419036585,0.857941676477,0.483034801248,0.403537304741,0.0287922976658,0.0565122188198,0.0499565586345,0.0804484719039,0.381239966704,0.389414308416,0.12480034575,0.0620157360125,0.157234676852,0.0346600182021,0.104000288125,0.376667191389,0.103878887011,0.225846540088,0.0378973812566,0.0378569142184,0.0509480010699,0.164093839824,0.0266677781613,0.0739535122759,0.304413294717,0.0454849509155,0.303705121549,0.0297837401013,0.0297432730631,0.0581916009044,0.176699322218,0.255650513709,0.0949154380537,0.0929527867019,0.00194241783269,0.00184125023724,0.0016996156036,0.00194241783269,0.23048001596,0.218299437468,0.279728401427,0.00125447818361,0.00281245915358,0.101390164163,0.234607653855,0.143516350909,0.142423740878,0.11725324313,0.242255924071,0.0513324379327,0.644579217667,0.640390879215,0.324039808235,0.0498756245582,0.00182101671815,0.00125447818361,0.00133541225997,0.00121401114543,0.00139611281725,0.00139611281725,0.364223577149,0.341926239111,0.0330008696367,0.089391687342
1	4968006	5000178	-	-	-	-	0	0	0
1	5003228	5003829	-	-	-	-	0	0	0
1	5008150	5008895	-	-	-	-	0	0	0
1	5029980	5030035	-	-	-	-	0	0	0
1	5043977	5119047	-	-	-	-	0	0	0
1	5120794	5120870	-	-	-	-	0	0	0
1	5136611	5137354	-	-	-	-	0	0	0
1	5160091	5160836	-	-	-	-	0	0	0
1	5178654	5179767	-	-	-	-	0	0	0
