chr	NVR_start	NVR_stop	Overlapping_Gene_Start	Overlapping_Gene_Stop	Overlapping_GeneID	Overlap_Type	Number_of_Overlapping_Genes	Percentage_of_Gene_Overlapping_NVR	Percentage_of_NVR_Overlapping_Gene
1	1	10000	-	-	-	-	0	0	0
1	4952296	4968005	-	-	-	-	0	0	0
1	5000179	5003227	-	-	-	-	0	0	0
1	5003830	5008149	-	-	-	-	0	0	0
1	5008896	5029979	-	-	-	-	0	0	0
1	5030036	5043976	-	-	-	-	0	0	0
1	5119048	5120793	-	-	-	-	0	0	0
1	5120871	5136610	-	-	-	-	0	0	0
1	5137355	5160090	-	-	-	-	0	0	0
1	5160837	5178653	-	-	-	-	0	0	0
1	5179768	5218545	-	-	-	-	0	0	0
1	5583685	5584585	-	-	-	-	0	0	0
1	5585386	5593288	-	-	-	-	0	0	0
1	5593291	5603162	-	-	-	-	0	0	0
1	5603531	5603773	-	-	-	-	0	0	0
1	5603835	5608113	-	-	-	-	0	0	0
1	5611320	5653645	-	-	-	-	0	0	0
1	5658066	5664604	-	-	-	-	0	0	0
1	5677104	5678908	-	-	-	-	0	0	0
1	5686891	5693289	-	-	-	-	0	0	0
1	6630081	6642090	6625149,6624864,6625149,6634167	6633582,6633582,6635586,6701906	NM_001195752,NM_001195753,NM_138350,NM_018198	1,1,1,9	4	41.5224092957,40.1651565547,52.7495688829,11.6976675524	29.1614622367,29.1614622367,45.8489466234,65.9838454492
1	7178604	7260424	6785323	7769706	NM_015215	3	1	8.31189860867	100.001222195
1	7260426	7261550	6785323	7769706	NM_015215	3	1	0.114284669397	100.088967972
1	7271255	7292549	6785323	7769706	NM_015215	3	1	2.16328180873	100.004696159
1	7314291	7337508	6785323	7769706	NM_015215	3	1	2.35863240361	100.004307189
1	7337567	7340343	6785323	7769706	NM_015215	3	1	0.282105357259	100.036023055
1	7391951	7403340	6785323	7769706	NM_015215	3	1	1.15706878616	100.008780402
1	7409241	7417240	6785323	7769706	NM_015215	3	1	0.812690982381	100.012501563
1	7688941	7702968	6785323	7769706	NM_015215	3	1	1.4250536376	100.007129108
1	7707441	7732017	6785323	7769706	NM_015215	3	1	2.49668828425	100.00406901
1	7732030	7743060	6785323	7769706	NM_015215	3	1	1.12059927833	100.009066183
1	7744392	7796336	6785323,7771268,7784428	7769706,7781432,7845180	NM_015215,NM_004781,NM_001289864/NM_001289863/NM_016831/NM_001289862/NM_001289861	1,7,9	3	2.57165902737,100.0,19.6023241651	48.7351763438,19.5691513938,22.9266132758
1	7804881	7829414	7784428	7845180	NM_001289864/NM_001289863/NM_016831/NM_001289862/NM_001289861	3	1	40.3831909535	100.004076142
1	7830305	7838648	7784428	7845180	NM_001289864/NM_001289863/NM_016831/NM_001289862/NM_001289861	3	1	13.7343011868	100.011986096
1	7838650	7848691	7784428,7847611,7847611	7845180,7853044,7853491	NM_001289864/NM_001289863/NM_016831/NM_001289862/NM_001289861,NM_006786,NM_021995	1,9,9	3	10.7500864155,19.8932646301,18.3812276824	65.0433223782,10.7658599741,10.7658599741
1	7849454	7856616	7847611,7847611	7853044,7853491	NM_006786,NM_021995	1,1	2	66.0839160839,68.6617922122	50.1396258028,56.3808991902
1	7856618	7861407	-	-	-	-	0	0	0
1	7899932	7902862	-	-	-	-	0	0	0
1	7903427	7913134	-	-	-	-	0	0	0
1	7913483	7915220	-	-	-	-	0	0	0
1	7918245	7942009	7915870	7943165	NM_001561	3	1	87.064038687	100.004208046
1	7942320	7954178	7915870	7943165	NM_001561	1	1	3.09935521688	7.13442401754
1	7987434	7990349	-	-	-	-	0	0	0
1	7990710	8026828	8011718	8026333	NM_018948	7	1	100.0	40.4673569965
1	8027004	8035350	-	-	-	-	0	0	0
1	8043196	8050203	-	-	-	-	0	0	0
1	8053815	8057015	-	-	-	-	0	0	0
1	9353588	9371295	9292881	9369531	NM_025106	1	1	20.8007723317	90.0434856272
1	9371971	9379270	-	-	-	-	0	0	0
1	9380943	9380980	-	-	-	-	0	0	0
1	9800152	9810651	9729020	9824526	NM_001302883/NM_014944/NM_001009566	3	1	10.993958558	100.009524717
1	9813043	9831765	9729020	9824526	NM_001302883/NM_014944/NM_001009566	1	1	12.0242495314	61.33960047
1	9832679	9858124	9848275	9910258	NM_001012329/NM_020248	9	1	15.8911977284	38.7109451759
1	10592549	10596266	10474945	10630761	NM_004565	3	1	2.38613245025	100.026903417
1	10597856	10611334	10474945	10630761	NM_004565	3	1	8.65053235526	100.007419498
1	11609540	11620225	11609530	11613354	NR_104624	1	1	99.7385620915	35.704258306
1	11777088	11797653	11762192,11777076,11785729	11789585,11779619,11806103	NM_001010881,NR_126000,NM_005957	1,1,9	3	45.6231291524,99.5283018868,58.527607362	60.7731582786,12.3121808899,57.9868708972
1	11802722	11829507	11785729,11806095	11806103,11843144	NM_005957,NR_046428/NM_001286/NM_001256959	1,9	2	16.5987730061,63.1929824561	12.6264700392,87.4108642897
1	11829830	11840767	11806095,11840318	11843144,11847616	NR_046428/NM_001286/NM_001256959,NR_037806	3,9	2	29.5222672065,6.16522811344	100.009143275,4.11447380452
1	11849458	11868772	11857463	11858935	NM_002521	7	1	100.0	7.62659210935
1	11868839	11896837	-	-	-	-	0	0	0
1	11897945	11928541	11919587,11908153	11926428,11908272	NM_138346,NR_002754	7,7	2	100.0,100.0	22.3624003138,0.392208131782
1	11935586	11936632	11934666	11975542	NM_000302/NM_001316320	3	1	2.56134256428	100.095602294
1	11937082	11960354	11934666	11975542	NM_000302/NM_001316320	3	1	56.934217286	100.004297009
1	11971974	11990576	11934666,11980180	11975542,12013515	NM_000302/NM_001316320,NM_001127660/NM_014874	1,9	2	8.73107126257,31.1885049196	19.1861090205,55.8918395871
1	13382062	13382062	-	-	-	-	0	0	0
1	13455729	13459451	-	-	-	-	0	0	0
1	14046538	14051850	-	-	-	-	0	0	0
1	14109086	14109596	-	-	-	-	0	0	0
1	14112739	14127889	-	-	-	-	0	0	0
1	14138704	14170732	-	-	-	-	0	0	0
1	14170734	14214816	-	-	-	-	0	0	0
1	14219515	14221417	-	-	-	-	0	0	0
1	14230633	14234357	-	-	-	-	0	0	0
1	14237544	14245219	-	-	-	-	0	0	0
1	14246092	14260046	-	-	-	-	0	0	0
1	14270330	14292709	-	-	-	-	0	0	0
1	14296026	14350413	-	-	-	-	0	0	0
1	14417107	14492599	-	-	-	-	0	0	0
1	14493415	14514508	-	-	-	-	0	0	0
1	14514510	14572658	-	-	-	-	0	0	0
1	15291729	15314162	15247271	15398126	NM_052929	3	1	14.8711353874	100.004457719
1	15315055	15323504	15247271	15398126	NM_052929	3	1	5.60136819218	100.01183572
1	15528831	15579478	15526812,15571698	15571733,15585110	NM_001287811/NM_015291/NR_109898,NM_024758	1,9	2	95.5055429411,58.0108849623	84.709854483,15.3632001895
1	15581896	15586646	15571698	15585110	NM_024758	1	1	23.9692835309	67.6842105263
1	15587118	15594075	-	-	-	-	0	0	0
1	15611928	15618161	15617457	15661057	NM_032341	9	1	1.61693539139	11.3107652816
1	15620551	15642114	15617457	15661057	NM_032341	3	1	49.4575812481	100.004637574
1	16346288	16360105	16246839	16352491	NM_018994	1	1	5.87205285226	44.901208656
1	16364456	16368743	16367029	16398148	NR_073503/NR_073502/NR_073501/NR_073500/NM_001271869/NM_001114600	9	1	5.51092544987	40.0046652671
1	16369522	16389003	16367029	16398148	NR_073503/NR_073502/NR_073501/NR_073500/NM_001271869/NM_001114600	3	1	62.6028277635	100.005133207
1	16407231	16422154	16398642	16437424	NM_198546	3	1	38.4807776603	100.006701065
1	16430348	16437837	16398642	16437424	NM_198546	1	1	18.2476858417	94.4985979437
1	17375144	17378276	17372195	17401699	NM_207421	3	1	10.6185392306	100.03192848
1	17379706	17396288	17372195	17401699	NM_207421	3	1	56.2040332147	100.006030636
1	17396290	17406690	17372195	17401699	NM_207421	1	1	18.3358752754	52.0192307692
1	17408549	17438002	17406754,17406754	17438563,17439754	NM_001136204,NM_018715	3,3	2	92.593524049,89.2518408533	100.00339524,100.00339524
1	17440424	17443301	-	-	-	-	0	0	0
1	17443303	17450324	-	-	-	-	0	0	0
1	17713453	17735187	-	-	-	-	0	0	0
1	17736590	17737909	-	-	-	-	0	0	0
1	17813811	17863968	17755312	17827063	NM_030812	1	1	18.4705652804	26.4230316805
1	17867524	17897636	-	-	-	-	0	0	0
1	17897638	17904040	-	-	-	-	0	0	0
1	17910126	17932358	-	-	-	-	0	0	0
1	17933746	17944600	-	-	-	-	0	0	0
1	17944613	17955420	-	-	-	-	0	0	0
1	18162608	18174412	18107745	18378483	NM_032880	3	1	4.3602879526	100.008471705
1	18746433	18755583	18631005	18748866	NM_001135254	1	1	2.06512701295	26.6010928962
1	18800491	18819938	-	-	-	-	0	0	0
1	18827572	18857270	18839598	18859661	NM_152232	9	1	88.0831339713	59.509057849
1	18858970	18868707	18839598	18859661	NM_152232	1	1	3.44896331738	7.10691177981
1	18868709	18873685	18871429,18871429	18890891,18902799	NM_001161504,NM_003748/NM_170726/NM_001319218	9,9	2	11.5963623285,7.19454273055	45.3577170418,45.3577170418
1	18881700	18897510	18871429,18871429,18897070,18883201	18890891,18902799,18897148,18883275	NM_001161504,NM_003748/NM_170726/NM_001319218,NR_031622,NR_039844	1,3,7,7	4	47.228073781,50.4000510025,100.0,100.0	58.1404174573,100.006325111,0.499683744466,0.474383301708
