Chromosome	Start_Range	End_Range	Count_of_CpG_Islands	Normalized_Amount_GC	N_Percentage
1	10001	4952295	378887	0.506827496133	0.0391819994557
1	4968006	5000178	54	0.452024989898	0.0
1	5003228	5003829	0	0.470099667774	0.0
1	5008150	5008895	0	0.450402144772	0.0
1	5029980	5030035	0	0.392857142857	0.0
1	5043977	5119047	767	0.429406828203	0.0
1	5120794	5120870	0	0.506493506494	0.0
1	5136611	5137354	0	0.338709677419	0.0
1	5160091	5160836	0	0.383378016086	0.0
1	5178654	5179767	0	0.385098743268	0.0
1	5218546	5583684	2074	0.46015079189	0.0
1	5584586	5585385	0	0.53875	0.0
1	5593289	5593289	0	0.0	0.0
1	5593290	5593290	0	0.0	0.0
1	5603163	5603530	0	0.451086956522	0.0
1	5603774	5603834	0	0.540983606557	0.0
1	5608114	5611319	0	0.434809731753	0.0
1	5653646	5658065	0	0.507466063348	0.0
1	5664605	5677103	165	0.444195535643	0.0
1	5678909	5686890	530	0.436857930343	0.0
1	5693290	6630080	56426	0.526571028116	0.0
1	6642091	7178603	24268	0.467051124577	0.0
1	7260425	7260425	0	1.0	0.0
1	7261551	7271254	0	0.439715581204	0.0
1	7292550	7314290	195	0.415436272481	0.0
1	7337509	7337566	0	0.637931034483	0.0
1	7340344	7391950	449	0.42666692503	0.0
1	7403341	7409240	0	0.430508474576	0.0
1	7417241	7688940	2357	0.505156422525	0.0
1	7702969	7707440	7	0.489713774597	0.0
1	7732018	7732029	0	0.583333333333	0.0
1	7743061	7744391	0	0.595041322314	0.0
1	7796337	7804880	240	0.520014044944	0.0
1	7829415	7830304	0	0.43595505618	0.0
1	7838649	7838649	0	1.0	0.0
1	7848692	7849453	75	0.488188976378	0.0
1	7856617	7856617	0	1.0	0.0
1	7861408	7899931	3517	0.412781642612	0.0
1	7902863	7903426	0	0.413120567376	0.0
1	7913135	7913482	0	0.290229885057	0.0
1	7915221	7918244	0	0.416997354497	0.0
1	7942010	7942319	0	0.409677419355	0.0
1	7954179	7987433	435	0.450789354984	0.0
1	7990350	7990709	0	0.383333333333	0.0
1	8026829	8027003	0	0.56	0.0
1	8035351	8043195	0	0.432504780115	0.0
1	8050204	8053814	0	0.397950706176	0.0
1	8057016	9353587	40692	0.448392376204	0.0
1	9371296	9371970	0	0.465185185185	0.0
